parcel,x,y,z
aHIP-rh,26.34104046242775,-14.346820809248555,-20.08670520231214
pHIP-rh,28.157894736842103,-31.098684210526315,-7.368421052631575
lAMY-rh,27.6,-1.9375,-21.487499999999997
mAMY-rh,21.273684210526312,-5.273684210526312,-16.28421052631579
THA-DP-rh,16.925373134328353,-30.86567164179104,2.8258706467661625
THA-VP-rh,13.763440860215056,-22.645161290322577,2.795698924731184
THA-VA-rh,8.50709219858156,-10.48581560283688,6.872340425531917
THA-DA-rh,12.71710526315789,-22.256578947368425,11.92763157894737
NAc-shell-rh,11.15517241379311,10.948275862068954,-6.810344827586206
NAc-core-rh,14.777777777777771,18.555555555555543,-2.9111111111111114
pGP-rh,23.066666666666663,-8.266666666666666,-1.6444444444444457
aGP-rh,17.66666666666667,-0.11111111111111427,-1.7407407407407476
aPUT-rh,24.125907990314772,8.944309927360763,-2.125907990314772
pPUT-rh,29.05154639175258,-6.799999999999997,3.3567010309278373
aCAU-rh,13.503496503496507,14.650349650349654,6.6293706293706265
pCAU-rh,14.71140939597315,3.1946308724832306,16.49664429530202
aHIP-lh,-24.341040462427742,-14.346820809248555,-20.08670520231214
pHIP-lh,-26.15789473684211,-31.098684210526315,-7.368421052631575
lAMY-lh,-25.599999999999994,-1.9375,-21.487499999999997
mAMY-lh,-19.273684210526312,-5.273684210526312,-16.28421052631579
THA-DP-lh,-14.925373134328353,-30.86567164179104,2.8258706467661625
THA-VP-lh,-11.763440860215056,-22.645161290322577,2.795698924731184
THA-VA-lh,-6.50709219858156,-10.48581560283688,6.872340425531917
THA-DA-lh,-10.71710526315789,-22.256578947368425,11.92763157894737
NAc-shell-lh,-9.15517241379311,10.948275862068954,-6.810344827586206
NAc-core-lh,-12.777777777777771,18.555555555555543,-2.9111111111111114
pGP-lh,-21.066666666666663,-8.266666666666666,-1.6444444444444457
aGP-lh,-15.666666666666671,-0.11111111111111427,-1.7407407407407476
aPUT-lh,-22.125907990314772,8.944309927360763,-2.125907990314772
pPUT-lh,-27.05154639175258,-6.799999999999997,3.3567010309278373
aCAU-lh,-11.503496503496507,14.650349650349654,6.6293706293706265
pCAU-lh,-12.71140939597315,3.1946308724832306,16.49664429530202
7Networks_LH_Vis_1,-32.16138328530259,-41.44092219020173,-21.048991354466857
7Networks_LH_Vis_2,-30.061320754716988,-32.55660377358491,-18.056603773584904
7Networks_LH_Vis_3,-35.36569579288026,-62.032362459546924,-17.055016181229774
7Networks_LH_Vis_4,-24.518703241895267,-54.45386533665835,-8.249376558603494
7Networks_LH_Vis_5,-23.36150234741784,-72.67136150234742,-10.305164319248824
7Networks_LH_Vis_6,-36.41456582633053,-81.38935574229691,-15.966386554621849
7Networks_LH_Vis_7,-18.612021857923494,-37.2896174863388,-11.770491803278688
7Networks_LH_Vis_8,-45.15973741794312,-70.04814004376368,-8.301969365426693
7Networks_LH_Vis_9,-16.950000000000003,-86.3875,-14.987499999999997
7Networks_LH_Vis_10,-12.168582375478934,-61.18773946360153,-4.727969348659002
7Networks_LH_Vis_11,-6.727272727272734,-75.76623376623377,-5.733766233766232
7Networks_LH_Vis_12,-24.406779661016955,-96.74576271186442,-11.92467043314501
7Networks_LH_Vis_13,-13.445378151260499,-42.94117647058823,-5.445378151260499
7Networks_LH_Vis_14,-41.553846153846166,-86.43076923076923,-3.2564102564102626
7Networks_LH_Vis_15,-7.437984496124031,-97.31007751937985,-7.244186046511629
7Networks_LH_Vis_16,-14.103092783505161,-56.85567010309278,1.3402061855670127
7Networks_LH_Vis_17,-46.14953271028037,-73.07476635514018,6.135514018691595
7Networks_LH_Vis_18,-4.633093525179859,-88.41247002398082,1.7553956834532443
7Networks_LH_Vis_19,-24.431239388794566,-95.87436332767402,5.925297113752123
7Networks_LH_Vis_20,-13.533333333333331,-48.88333333333334,3.9833333333333343
7Networks_LH_Vis_21,-7.372549019607845,-74.21350762527233,9.51633986928104
7Networks_LH_Vis_22,-18.886178861788622,-64.21951219512195,6.975609756097555
7Networks_LH_Vis_23,-39.415492957746466,-83.74647887323944,14.140845070422529
7Networks_LH_Vis_24,-10.913043478260875,-96.53846153846155,17.163879598662206
7Networks_LH_Vis_25,-2.9635974304068498,-84.18415417558887,24.50107066381156
7Networks_LH_Vis_26,-12.198630136986296,-71.04109589041096,20.472602739726028
7Networks_LH_Vis_27,-24.914772727272734,-84.6534090909091,21.903409090909093
7Networks_LH_Vis_28,-31.809954751131215,-84.12669683257919,27.031674208144793
7Networks_LH_Vis_29,-16.006211180124225,-88.98136645962734,33.58385093167702
7Networks_LH_Vis_30,-12.031999999999996,-80.832,35.952
7Networks_LH_Vis_31,-21.235521235521233,-78.58687258687259,44.6949806949807
7Networks_LH_SomMot_1,-49.79591836734693,-9.775510204081627,0.45408163265305745
7Networks_LH_SomMot_2,-55.94285714285715,-21.35918367346939,7.70204081632653
7Networks_LH_SomMot_3,-36.09271523178808,-24.066225165562912,9.867549668874176
7Networks_LH_SomMot_4,-38.30830039525691,-9.13833992094861,12.77470355731225
7Networks_LH_SomMot_5,-35.662790697674424,-26.29069767441861,18.930232558139537
7Networks_LH_SomMot_6,-58.59016393442624,-37.00327868852459,15.67213114754098
7Networks_LH_SomMot_7,-41.14285714285714,-34.94581280788178,14.266009852216754
7Networks_LH_SomMot_8,-48.686192468619254,-12.887029288702934,14.158995815899587
7Networks_LH_SomMot_9,-59.551724137931046,-2.3448275862068897,11.267241379310349
7Networks_LH_SomMot_10,-48.11538461538461,-24.15384615384616,17.82692307692308
7Networks_LH_SomMot_11,-60.92385786802029,-17.492385786802032,19.461928934010146
7Networks_LH_SomMot_12,-59.23549488054607,-2.232081911262796,23.74744027303754
7Networks_LH_SomMot_13,-62.4321608040201,-10.291457286432163,31.165829145728637
7Networks_LH_SomMot_14,-53.22279792746113,-8.974093264248708,30.0
7Networks_LH_SomMot_15,-54.83422459893049,-19.807486631016047,40.705882352941174
7Networks_LH_SomMot_16,-50.88079470198676,-6.814569536423846,43.11258278145695
7Networks_LH_SomMot_17,-47.98830409356725,-16.292397660818708,40.18713450292398
7Networks_LH_SomMot_18,-7.874213836477992,-15.289308176100633,46.89937106918239
7Networks_LH_SomMot_19,-40.984771573604064,-14.345177664974614,47.97969543147208
7Networks_LH_SomMot_20,-48.71428571428572,-17.38095238095238,54.2
7Networks_LH_SomMot_21,-47.30459770114942,-29.591954022988503,58.19540229885058
7Networks_LH_SomMot_22,-39.184,-24.784000000000006,52.879999999999995
7Networks_LH_SomMot_23,-8.59420289855072,-37.53623188405797,53.53623188405797
7Networks_LH_SomMot_24,-4.299065420560751,-24.785046728971963,56.19626168224298
7Networks_LH_SomMot_25,-3.898916967509024,-8.628158844765338,59.09747292418771
7Networks_LH_SomMot_26,-34.51680672268908,-18.277310924369743,63.64285714285714
7Networks_LH_SomMot_27,-30.15789473684211,-46.29824561403508,62.71345029239765
7Networks_LH_SomMot_28,-32.0530303030303,-28.939393939393938,62.151515151515156
7Networks_LH_SomMot_29,-29.821561338289968,-38.25278810408922,64.84758364312268
7Networks_LH_SomMot_30,-23.520215633423177,-10.700808625336933,64.88948787061994
7Networks_LH_SomMot_31,-19.27407407407408,-24.251851851851853,66.47407407407408
7Networks_LH_SomMot_32,-8.40425531914893,-41.65957446808511,70.18439716312056
